id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365
36442252	1B-1B apartment near by Metro	273841667	Blaine	Bronx	Mott Haven	40.80787	-73.924	Entire home/apt	100	1	2	07/07/2019	2	1	40
36435986	1A. Studio & Stay. 30 minutes to Midtown Manhattan	37678939	Chantal	Bronx	Concourse Village	40.83372	-73.91187	Private room	70	2	0			2	81
36429652	Cute double room for the perfect Yankee fan	58222366	Dominique	Bronx	Claremont Village	40.83502	-73.91058	Private room	125	2	0			1	364
36428186	Private house Apartment	141511069	Carolina	Bronx	Morrisania	40.83146	-73.89666	Entire home/apt	80	7	0			1	71
36426093	Best room in nyc	273877318	Jay	Bronx	Claremont Village	40.83926	-73.91173	Private room	140	1	0			1	90
36379669	Shared living space in the Bronx!	44378432	Bryan	Bronx	Pelham Bay	40.84735	-73.83095	Shared room	50	1	0			1	88
36351030	Brand New Privated Room for NYC Traveler	273354185	Lee & Luffy	Bronx	Castle Hill	40.81709	-73.84811	Private room	39	2	0			7	177
36350871	Spacious brand new room getaway traveler  NYC #4	273354185	Lee & Luffy	Bronx	Castle Hill	40.81539	-73.84669	Private room	39	2	0			7	177
36350749	NYC Traveler Get Away Private ROOM #3	273354185	Lee & Luffy	Bronx	Castle Hill	40.81572	-73.84592	Private room	39	2	0			7	177
36350612	Get Away NYC Queens Bedroom #2	273354185	Lee & Luffy	Bronx	Castle Hill	40.81727	-73.84588	Private room	38	2	0			7	177
36350460	Cozy Spacious Queens Private Room #1	273354185	Lee & Luffy	Bronx	Castle Hill	40.8154	-73.84657	Private room	38	3	0			7	177
36350210	"Cozy brand new 3 bedrooms apartment, HugeSpace ##3"	273354185	Lee & Luffy	Bronx	Castle Hill	40.81733	-73.84807	Entire home/apt	128	2	0			7	167
36350007	Spacious brand new 2 bedrooms apartment ##2	273354185	Lee & Luffy	Bronx	Castle Hill	40.81576	-73.84653	Entire home/apt	98	3	0			7	169
36283398	Dream House	174496733	Francis	Bronx	Clason Point	40.80655	-73.85093	Entire home/apt	379	3	0			1	167
36243240	spacious private room #3	35783912	Pi & Leo	Bronx	Fordham	40.86263	-73.89088	Private room	33	2	0			8	84
36243183	Spacious private room #2	35783912	Pi & Leo	Bronx	Fordham	40.86264	-73.89139	Private room	29	2	0			8	81
36243129	Brand New Private 5 bedrooms apartment ##5	35783912	Pi & Leo	Bronx	Fordham	40.86265	-73.89263	Entire home/apt	178	2	0			8	89
36243050	spacious space privated room #1	35783912	Pi & Leo	Bronx	Fordham	40.86355	-73.89234	Private room	39	2	0			8	58
36229225	NYC Cozy Apt	272485617	Jean-Joseph	Bronx	Port Morris	40.80626	-73.92815	Entire home/apt	117	4	0			1	290
36206788	Best 1 bedroom apartment in NYC	272308792	Takeshia	Bronx	Longwood	40.81629	-73.90945	Entire home/apt	85	1	1	06/07/2019	1	1	14
36199363	Furnished room  for rent in Bronx SINGLE FEMALE	272247972	Kadeen	Bronx	Olinville	40.88116	-73.86547	Shared room	25	90	0			1	190
36199090	ROMANTIC SUNSET YACHT CRUISE & FIREWORKS	23732730	Buddy	Bronx	City Island	40.84295	-73.78433	Entire home/apt	600	1	0			4	44
36177241	VJ'S 5 HOUR YACHT TOUR	23732730	Buddy	Bronx	City Island	40.84443	-73.78497	Entire home/apt	1000	1	0			4	90
36145564	The place is a brand new gut renovated apartment.	24304607	Scott	Bronx	Kingsbridge	40.87997	-73.90135	Private room	100	1	0			1	115
44096	Room with a View	190409	Waundell	Bronx	Highbridge	40.83232	-73.93184	Private room	40	1	219	04/07/2019	2.04	3	353
36115183	Cozy warm	271667012	Dilenny	Bronx	Pelham Bay	40.85234	-73.82969	Entire home/apt	55	7	0			1	179
36109691	Modern and Beautiful Riverdale Apartment	118853924	Sayar	Bronx	North Riverdale	40.90527	-73.89707	Entire home/apt	150	30	0			1	89
36108811	Bright and Sunny home away from home.	271616449	Raiysa	Bronx	Parkchester	40.8349	-73.85259	Private room	40	3	1	28/06/2019	1	1	68
36085870	The Game Room Place	188453457	Denise	Bronx	Claremont Village	40.84037	-73.8998	Private room	122	1	0			2	166
36080023	The Game Room	188453457	Denise	Bronx	Claremont Village	40.84218	-73.90969	Entire home/apt	390	2	0			2	348
36071960	"Great Apartment only $79 per night 
Great area"	267710728	James	Bronx	Pelham Gardens	40.86143	-73.84573	Entire home/apt	79	2	1	26/06/2019	1	2	354
36068351	The Emperors Den	252897042	Oza	Bronx	Bronxdale	40.85247	-73.86418	Entire home/apt	60	4	2	07/07/2019	2	1	194
36041232	Nice house room 2 near van cortlandt park	230720704	Pp	Bronx	North Riverdale	40.91167	-73.89566	Private room	40	1	1	06/07/2019	1	3	174
36040561	Nice room to rent 1	230720704	Pp	Bronx	North Riverdale	40.91306	-73.89389	Private room	40	1	1	06/07/2019	1	3	175
54626	Cozy bedroom by Yankee Stadium	190409	Waundell	Bronx	Highbridge	40.83075	-73.93058	Private room	45	1	138	30/06/2019	1.45	3	323
36037506	The blue house	56602710	Auilda	Bronx	Melrose	40.82093	-73.91279	Entire home/apt	125	2	0			1	207
36001548	Home Away From Home in the Bronx	270852954	Jasmine	Bronx	Westchester Square	40.83671	-73.84677	Private room	75	1	0			1	363
35996222	Stylish 2 Beds Apartment with Private Parking	270796745	Sonia	Bronx	Allerton	40.86886	-73.84915	Entire home/apt	140	2	1	30/06/2019	1	1	175
35978071	Urban Heaven in the City! Near Yankee Stdm/Harlem	30873670	Jay	Bronx	Longwood	40.82101	-73.90919	Entire home/apt	75	3	0			1	0
35943602	$79.00 per night in the safest neighborhood in NYC	267710728	James	Bronx	Pelham Gardens	40.86143	-73.84556	Entire home/apt	79	2	2	06/07/2019	2	2	169
